movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,combined_info
the oath,Comedy,Ike Barinholtz,Ike Barinholtz,Tiffany Haddish,Nora Dunn,Ike Barinholtz Ike Barinholtz Tiffany Haddish Nora Dunn Comedy
gosnell: the trial of america's biggest serial killer,Drama Crime,Nick Searcy,Earl Billings,Dean Cain,Sarah Jane Morris,Nick Searcy Earl Billings Dean Cain Sarah Jane Morris Drama Crime
after everything,Comedy Drama Romance,"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei",Jeremy Allen White,None,Jeremy Allen White,"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei Jeremy Allen White None Jeremy Allen White Comedy Drama Romance"
halloween,Horror,David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,David Gordon Green Jamie Lee Curtis Judy Greer Andi Matichak Horror
can you ever forgive me?,Drama Crime Comedy,Marielle Heller,Melissa McCarthy,Richard E. Grant,None,Marielle Heller Melissa McCarthy Richard E. Grant None Drama Crime Comedy
mid90s,Drama Comedy,Jonah Hill,Sunny Suljic,Lucas Hedges,Katherine Waterston,Jonah Hill Sunny Suljic Lucas Hedges Katherine Waterston Drama Comedy
wildlife,Drama,Paul Dano,Carey Mulligan,Jake Gyllenhaal,Ed Oxenbould,Paul Dano Carey Mulligan Jake Gyllenhaal Ed Oxenbould Drama
what they had,Drama,Elizabeth Chomko,Hilary Swank,Michael Shannon,Robert Forster,Elizabeth Chomko Hilary Swank Michael Shannon Robert Forster Drama
hunter killer,Action Thriller,Donovan Marsh,Gerard Butler,Gary Oldman,Common,Donovan Marsh Gerard Butler Gary Oldman Common Action Thriller
johnny english strikes again,Action Adventure Comedy,David Kerr,Rowan Atkinson,Olga Kurylenko,Ben Miller,David Kerr Rowan Atkinson Olga Kurylenko Ben Miller Action Adventure Comedy
suspiria,Horror Thriller,Luca Guadagnino,Dakota Johnson,Tilda Swinton,Mia Goth,Luca Guadagnino Dakota Johnson Tilda Swinton Mia Goth Horror Thriller
indivisible,Drama War,David G. Evans,Sarah Drew,Justin Bruening,Jason George,David G. Evans Sarah Drew Justin Bruening Jason George Drama War
bullitt county,Action Drama Thriller,David McCracken,Mike C. Nelson,Jenni Melear,David McCracken,David McCracken Mike C. Nelson Jenni Melear David McCracken Action Drama Thriller
bohemian rhapsody,Music Drama History,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Bryan Singer Rami Malek Lucy Boynton Gwilym Lee Music Drama History
